Bait ID,Bait Name,Bait Locus,Bait Notes,Prey Locus,Prey TAIR Symbols,Prey TAIR Description,Number of Interactions
13,PRN,AT3G59220,,AT2G42400,"VOZ2, ATVOZ2",VOZ2 (VASCULAR PLANT ONE ZINC FINGER PROTEIN 2); transcription activator,3
24,,AT4G26410,,AT2G42400,"VOZ2, ATVOZ2",VOZ2 (VASCULAR PLANT ONE ZINC FINGER PROTEIN 2); transcription activator,1
5,RGS1,AT3G26090,,AT2G44270,,ATP binding,1
7,RACK1C,AT3G18130,,AT2G44310,,calcium-binding EF hand family protein,1
5,RGS1,AT3G26090,,AT2G44350,"ATCS, CSY4",ATCS; ATP binding / ATP citrate synthase/ citrate (SI)-synthase,1
5,RGS1,AT3G26090,,AT2G44610,"RAB6, ATRABH1B, ATRAB6A, RAB6A",RAB6A; GTP binding / protein binding,1
2,AGB1,AT4G34460,,AT2G45140,PVA12,PVA12 (PLANT VAP HOMOLOG 12); structural molecule,1
6,GPA1,AT2G26300,CA GPA1,AT2G45680,TCP9,"TCP9 family transcription factor, putative",7
6,GPA1,AT2G26300,CA GPA1,AT2G46240,"BAG6, ATBAG6",BAG6 (BCL-2-ASSOCIATED ATHANOGENE 6); calmodulin binding / protein binding,1
6,GPA1,AT2G26300,CA GPA1,AT2G46330,"AGP16, ATAGP16",AGP16 (ARABINOGALACTAN PROTEIN 16),3
3,NDL1,AT5G56750,,AT2G46500,,phosphatidylinositol 3- and 4-kinase family protein / ubiquitin family protein,1
2,AGB1,AT4G34460,,AT2G46535,,unknown protein,1
5,RGS1,AT3G26090,,AT2G46550,,unknown protein,1
7,RACK1C,AT3G18130,,AT2G47090,,nucleic acid binding / protein binding / zinc ion binding,1
2,AGB1,AT4G34460,,AT2G47590,PHR2,PHR2 (photolyase/blue-light receptor 2); DNA photolyase,2
5,RGS1,AT3G26090,,AT2G47590,PHR2,PHR2 (photolyase/blue-light receptor 2); DNA photolyase,3
3,NDL1,AT5G56750,,AT3G01500,CA1,CA1 (CARBONIC ANHYDRASE 1); carbonate dehydratase/ zinc ion binding,1
5,RGS1,AT3G26090,,AT3G01610,"CDC48C, emb1354",CDC48C; ATP binding / ATPase/ nucleoside-triphosphatase/ nucleotide binding,1
1,TGA1,AT5G65210,,AT3G01820,,adenylate kinase family protein,1
5,RGS1,AT3G26090,,AT3G02090,MPPBETA,"mitochondrial processing peptidase beta subunit, putative",2
7,RACK1C,AT3G18130,,AT3G02230,"RGP1, ATRGP1",RGP1 (REVERSIBLY GLYCOSYLATED POLYPEPTIDE 1); cellulose synthase (UDP-forming),1
5,RGS1,AT3G26090,,AT3G02360,,6-phosphogluconate dehydrogenase family protein,1
2,AGB1,AT4G34460,,AT3G03890,,FMN binding,1
5,RGS1,AT3G26090,,AT3G03980,,short-chain dehydrogenase/reductase (SDR) family protein,1
11,UNE16,AT4G13640,,AT3G03990,,esterase/lipase/thioesterase family protein,1
3,NDL1,AT5G56750,,AT3G04840,,40S ribosomal protein S3A (RPS3aA),1
5,RGS1,AT3G26090,,AT3G05430,,PWWP domain-containing protein,1
4,SYP23,AT4G17730,,AT3G05500,,rubber elongation factor (REF) family protein,1
2,AGB1,AT4G34460,,AT3G05920,,heavy-metal-associated domain-containing protein,1
5,RGS1,AT3G26090,,AT3G06190,"ATBPM2, BPM2",BPM2 (BTB-POZ AND MATH DOMAIN 2); protein binding,2
5,RGS1,AT3G26090,,AT3G07020,,UDP-glucose:sterol glucosyltransferase (UGT80A2),1
5,RGS1,AT3G26090,,AT3G07780,OBE1,OBE1 (OBERON1); protein binding / zinc ion binding,4
5,RGS1,AT3G26090,,AT3G08720,"ATPK19, ATS6K2, S6K2, ATPK2",S6K2 (ARABIDOPSIS THALIANA SERINE/THREONINE PROTEIN KINASE 2); kinase/ protein kinase,1
5,RGS1,AT3G26090,,AT3G08730,"ATPK1, ATPK6, ATS6K1, PK6, PK1, S6K1",PK1 (PROTEIN-SERINE KINASE 1); kinase/ protein binding / protein kinase/ protein serine/threonine kinase,1
5,RGS1,AT3G26090,,AT3G09100,,mRNA capping enzyme family protein,1
3,NDL1,AT5G56750,,AT3G09390,"MT2A, ATMT-K, ATMT-1",MT2A (METALLOTHIONEIN 2A); copper ion binding,2
5,RGS1,AT3G26090,,AT3G09860,,unknown protein,3
13,PRN,AT3G59220,,AT3G11050,ATFER2,ATFER2 (ferritin 2); binding / ferric iron binding / oxidoreductase/ transition metal ion binding,1
2,AGB1,AT4G34460,,AT3G11850,,unknown protein,1
5,RGS1,AT3G26090,,AT3G12260,,complex 1 family protein / LVR family protein,1
5,RGS1,AT3G26090,,AT3G12500,"ATHCHIB, PR3, PR-3, CHI-B, B-CHI",ATHCHIB (ARABIDOPSIS THALIANA BASIC CHITINASE); chitinase,1
5,RGS1,AT3G26090,,AT3G13740,,URF 4-related,1
2,AGB1,AT4G34460,,AT3G13790,"ATCWINV1, ATBFRUCT1","ATBFRUCT1; beta-fructofuranosidase/ hydrolase, hydrolyzing O-glycosyl compounds",1
5,RGS1,AT3G26090,,AT3G14050,"RSH2, AT-RSH2, ATRSH2",RSH2 (RELA-SPOT HOMOLOG 2); GTP diphosphokinase,1
2,AGB1,AT4G34460,,AT3G14160,,oxidoreductase,1
5,RGS1,AT3G26090,,AT3G14210,ESM1,"ESM1 (epithiospecifier modifier 1); carboxylesterase/ hydrolase, acting on ester bonds",1
5,RGS1,AT3G26090,,AT3G15353,MT3,MT3 (METALLOTHIONEIN 3); copper ion binding,1
9,ATARD1,AT4G14716,,AT3G15356,,legume lectin family protein,1
4,SYP23,AT4G17730,,AT3G15730,"PLDALPHA1, PLD",PLDALPHA1 (PHOSPHOLIPASE D ALPHA 1); phospholipase D,1
23,,AT1G05000,,AT3G15730,"PLDALPHA1, PLD",PLDALPHA1 (PHOSPHOLIPASE D ALPHA 1); phospholipase D,1
5,RGS1,AT3G26090,,AT3G15950,NAI2,NAI2,1
8,Phosducin,AT5G14240,,AT3G16530,,legume lectin family protein,1
2,AGB1,AT4G34460,,AT3G16857,ARR1,ARR1 (ARABIDOPSIS RESPONSE REGULATOR 1); transcription factor/ two-component response regulator,1
8,Phosducin,AT5G14240,,AT3G17860,"JAZ3, JAI3, TIFY6B",JAZ3 (JASMONATE-ZIM-DOMAIN PROTEIN 3),1
5,RGS1,AT3G26090,,AT3G18710,"PUB29, ATPUB29",PUB29 (PLANT U-BOX 29); ubiquitin-protein ligase,1
16,CDC48B,AT2G03670,,AT3G18780,"ACT2, DER1, LSR2, ENL2",ACT2 (ACTIN 2); structural constituent of cytoskeleton,2
19,VAP27,AT3G60600,,AT3G18780,"ACT2, DER1, LSR2, ENL2",ACT2 (ACTIN 2); structural constituent of cytoskeleton,3
2,AGB1,AT4G34460,,AT3G19370,,"LOCATED IN: plasma membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF869, plant (InterPro:IPR008587); BEST Arabidopsis thaliana protein match is: transport protein-related (TAIR:AT2G23360.1); Has 35914 Blast hits to 20425 proteins in 933 species: Archae - 357; Bacteria - 2527; Metazoa - 19254; Fungi - 2459; Plants - 1272; Viruses - 95; Other Eukaryotes - 9950 (source: NCBI BLink).",3
3,NDL1,AT5G56750,,AT3G19760,,"eukaryotic translation initiation factor 4A, putative / eIF-4A, putative / DEAD box RNA helicase, putative",1
4,SYP23,AT4G17730,,AT3G20290,ATEHD1,ATEHD1 (EPS15 HOMOLOGY DOMAIN 1); GTP binding / GTPase/ calcium ion binding,1
5,RGS1,AT3G26090,,AT3G20310,"ATERF-7, ATERF7, ERF7",ERF7 (ETHYLINE RESPONSE FACTOR 7); DNA binding / protein binding / transcription factor/ transcription repressor,1
1,TGA1,AT5G65210,,AT3G20390,,endoribonuclease L-PSP family protein,1
7,RACK1C,AT3G18130,,AT3G20830,,protein kinase family protein,4
2,AGB1,AT4G34460,,AT3G22942,AGG2,AGG2 (G-PROTEIN GAMMA SUBUNIT 2),1
2,AGB1,AT4G34460,,AT3G23450,,unknown protein,1
2,AGB1,AT4G34460,,AT3G24120,,myb family transcription factor,3
6,GPA1,AT2G26300,CA GPA1,AT3G24120,,myb family transcription factor,3
11,UNE16,AT4G13640,,AT3G24120,,myb family transcription factor,15
19,VAP27,AT3G60600,,AT3G24120,,myb family transcription factor,1
4,SYP23,AT4G17730,,AT3G24650,"ABI3, SIS10",ABI3 (ABA INSENSITIVE 3); DNA binding / basal transcription repressor/ transcription activator/ transcription factor,1
7,RACK1C,AT3G18130,,AT3G25150,,nuclear transport factor 2 (NTF2) family protein / RNA recognition motif (RRM)-containing protein,1
3,NDL1,AT5G56750,,AT3G25800,"PDF1, PR 65, PP2AA2",PP2AA2 (PROTEIN PHOSPHATASE 2A SUBUNIT A2); protein phosphatase type 2A regulator,1
5,RGS1,AT3G26090,,AT3G26090,"RGS1, ATRGS1",RGS1 (REGULATOR OF G-PROTEIN SIGNALING 1); G-protein coupled receptor,1
6,GPA1,AT2G26300,CA GPA1,AT3G26090,"RGS1, ATRGS1",RGS1 (REGULATOR OF G-PROTEIN SIGNALING 1); G-protein coupled receptor,1
24,,AT4G26410,,AT3G26090,"RGS1, ATRGS1",RGS1 (REGULATOR OF G-PROTEIN SIGNALING 1); G-protein coupled receptor,1
5,RGS1,AT3G26090,,AT3G26580,,INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast thylakoid membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Tetratricopeptide region (InterPro:IPR013026); Has 2147 Blast hits to 1154 proteins in 168 species: Archae - 2; Bacteria - 99; Metazoa - 1301; Fungi - 180; Plants - 105; Viruses - 57; Other Eukaryotes - 403 (source: NCBI BLink).,1
8,Phosducin,AT5G14240,,AT3G27850,RPL12-C,RPL12-C (ribosomal protein l12-c); structural constituent of ribosome,1
4,SYP23,AT4G17730,,AT3G28930,AIG2,AIG2 (AVRRPT2-INDUCED GENE 2),1
5,RGS1,AT3G26090,,AT3G32980,,peroxidase 32 (PER32) (P32) (PRXR3),1
9,ATARD1,AT4G14716,,AT3G41950,,No protein annotation,1
5,RGS1,AT3G26090,,AT3G43190,"SUS4, ATSUS4","SUS4; UDP-glycosyltransferase/ sucrose synthase/ transferase, transferring glycosyl groups",2
3,NDL1,AT5G56750,,AT3G45140,"LOX2, ATLOX2",LOX2 (LIPOXYGENASE 2); lipoxygenase,1
6,GPA1,AT2G26300,CA GPA1,AT3G45150,TCP16,TCP16 (TCP domain protein 16); transcription factor,6
5,RGS1,AT3G26090,,AT3G46080,,zinc finger (C2H2 type) family protein,1
5,RGS1,AT3G26090,,AT3G47300,SELT,SELT (SELT-LIKE PROTEIN PRECURSOR); selenium binding,2
1,TGA1,AT5G65210,,AT3G48000,"ALDH2B4, ALDH2, ALDH2A",ALDH2B4 (ALDEHYDE DEHYDROGENASE 2B4); 3-chloroallyl aldehyde dehydrogenase/ ATP binding / aldehyde dehydrogenase (NAD),1
5,RGS1,AT3G26090,,AT3G49120,"ATPERX34, PERX34, PRXCB, ATPCB",PRXCB (PEROXIDASE CB); peroxidase,5
5,RGS1,AT3G26090,,AT3G49290,ABIL2,ABIL2 (ABL INTERACTOR-LIKE PROTEIN 2),1
24,,AT4G26410,,AT3G49290,ABIL2,ABIL2 (ABL INTERACTOR-LIKE PROTEIN 2),1
5,RGS1,AT3G26090,,AT3G50000,"CKA2, ATCKA2","CKA2 (CASEIN KINASE II, ALPHA CHAIN 2); kinase",1
5,RGS1,AT3G26090,,AT3G50030,,binding,1
5,RGS1,AT3G26090,,AT3G51280,,"male sterility MS5, putative",1
5,RGS1,AT3G26090,,AT3G51840,"ACX4, ATSCX, ATG6",ACX4 (ACYL-COA OXIDASE 4); acyl-CoA oxidase/ oxidoreductase,1
6,GPA1,AT2G26300,CA GPA1,AT3G52570,,ATP binding,1
15,ATARD4,AT5G43850,,AT3G52960,,"peroxiredoxin type 2, putative",1
1,TGA1,AT5G65210,,AT3G53190,,pectate lyase family protein,1
3,NDL1,AT5G56750,,AT3G53620,AtPPa4,AtPPa4 (Arabidopsis thaliana pyrophosphorylase 4); inorganic diphosphatase,3
5,RGS1,AT3G26090,,AT3G53810,,"lectin protein kinase, putative",1
4,SYP23,AT4G17730,,AT3G53990,,universal stress protein (USP) family protein,10
5,RGS1,AT3G26090,,AT3G53990,,universal stress protein (USP) family protein,6
7,RACK1C,AT3G18130,,AT3G53990,,universal stress protein (USP) family protein,9
8,Phosducin,AT5G14240,,AT3G53990,,universal stress protein (USP) family protein,1
13,PRN,AT3G59220,,AT3G53990,,universal stress protein (USP) family protein,1
19,VAP27,AT3G60600,,AT3G53990,,universal stress protein (USP) family protein,1
5,RGS1,AT3G26090,,AT3G54430,SRS6,SRS6 (SHI-RELATED SEQUENCE 6),1
9,ATARD1,AT4G14716,,AT3G54826,,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: Zinc finger, Zim17-type (InterPro:IPR007853); Has 284 Blast hits to 284 proteins in 134 species: Archae - 0; Bacteria - 0; Metazoa - 100; Fungi - 79; Plants - 58; Viruses - 0; Other Eukaryotes - 47 (source: NCBI BLink).",1
5,RGS1,AT3G26090,,AT3G55430,,"glycosyl hydrolase family 17 protein / beta-1,3-glucanase, putative",1
5,RGS1,AT3G26090,,AT3G55980,"SZF1, ATSZF1",SZF1 (SALT-INDUCIBLE ZINC FINGER 1); transcription factor,2
7,RACK1C,AT3G18130,,AT3G56410,,unknown protein,1
5,RGS1,AT3G26090,,AT3G56840,,FAD-dependent oxidoreductase family protein,1
5,RGS1,AT3G26090,,AT3G59220,"PRN, PRN1, ATPIRIN1",PRN (PIRIN); calmodulin binding,1
6,GPA1,AT2G26300,CA GPA1,AT3G59220,"PRN, PRN1, ATPIRIN1",PRN (PIRIN); calmodulin binding,1
23,,AT1G05000,,AT3G59220,"PRN, PRN1, ATPIRIN1",PRN (PIRIN); calmodulin binding,1
24,,AT4G26410,,AT3G59220,"PRN, PRN1, ATPIRIN1",PRN (PIRIN); calmodulin binding,1
9,ATARD1,AT4G14716,,AT3G59760,"OASC, ATCS-C",OASC (O-ACETYLSERINE (THIOL) LYASE ISOFORM C); ATP binding / cysteine synthase,3
2,AGB1,AT4G34460,,AT3G60600,"VAP27-1, VAP, (AT)VAP, VAP27",VAP (VESICLE ASSOCIATED PROTEIN); protein binding,1
16,CDC48B,AT2G03670,,AT3G60600,"VAP27-1, VAP, (AT)VAP, VAP27",VAP (VESICLE ASSOCIATED PROTEIN); protein binding,1
23,,AT1G05000,,AT3G60600,"VAP27-1, VAP, (AT)VAP, VAP27",VAP (VESICLE ASSOCIATED PROTEIN); protein binding,1
24,,AT4G26410,,AT3G60600,"VAP27-1, VAP, (AT)VAP, VAP27",VAP (VESICLE ASSOCIATED PROTEIN); protein binding,1
3,NDL1,AT5G56750,,AT3G61110,ARS27A,ARS27A (ARABIDOPSIS RIBOSOMAL PROTEIN S27); structural constituent of ribosome,2
5,RGS1,AT3G26090,,AT3G61480,,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: male gametophyte, cultured cell, pollen tube; EXPRESSED DURING: L mature pollen stage, M germinated pollen stage; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF1339 (InterPro:IPR009771), WD40/YVTN repeat-like (InterPro:IPR015943), Quinoprotein amine dehydrogenase, beta chain-like (InterPro:IPR011044); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G28350.2); Has 245 Blast hits to 227 proteins in 108 species: Archae - 0; Bacteria - 13; Metazoa - 104; Fungi - 64; Plants - 29; Viruses - 0; Other Eukaryotes - 35 (source: NCBI BLink).",1
6,GPA1,AT2G26300,CA GPA1,AT3G61480,,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: male gametophyte, cultured cell, pollen tube; EXPRESSED DURING: L mature pollen stage, M germinated pollen stage; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF1339 (InterPro:IPR009771), WD40/YVTN repeat-like (InterPro:IPR015943), Quinoprotein amine dehydrogenase, beta chain-like (InterPro:IPR011044); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G28350.2); Has 245 Blast hits to 227 proteins in 108 species: Archae - 0; Bacteria - 13; Metazoa - 104; Fungi - 64; Plants - 29; Viruses - 0; Other Eukaryotes - 35 (source: NCBI BLink).",1
11,UNE16,AT4G13640,,AT3G61480,,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: male gametophyte, cultured cell, pollen tube; EXPRESSED DURING: L mature pollen stage, M germinated pollen stage; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF1339 (InterPro:IPR009771), WD40/YVTN repeat-like (InterPro:IPR015943), Quinoprotein amine dehydrogenase, beta chain-like (InterPro:IPR011044); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G28350.2); Has 245 Blast hits to 227 proteins in 108 species: Archae - 0; Bacteria - 13; Metazoa - 104; Fungi - 64; Plants - 29; Viruses - 0; Other Eukaryotes - 35 (source: NCBI BLink).",1
20,ANNAT1,AT1G35720,,AT3G61480,,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: male gametophyte, cultured cell, pollen tube; EXPRESSED DURING: L mature pollen stage, M germinated pollen stage; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF1339 (InterPro:IPR009771), WD40/YVTN repeat-like (InterPro:IPR015943), Quinoprotein amine dehydrogenase, beta chain-like (InterPro:IPR011044); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G28350.2); Has 245 Blast hits to 227 proteins in 108 species: Archae - 0; Bacteria - 13; Metazoa - 104; Fungi - 64; Plants - 29; Viruses - 0; Other Eukaryotes - 35 (source: NCBI BLink).",3
3,NDL1,AT5G56750,,AT3G62460,,INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; EXPRESSED IN: male gametophyte; EXPRESSED DURING: M germinated pollen stage; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF537 (InterPro:IPR007491); BEST Arabidopsis thaliana protein match is: PBS lyase HEAT-like repeat-containing protein (TAIR:AT3G62530.1); Has 68 Blast hits to 66 proteins in 5 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 68; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,1
9,ATARD1,AT4G14716,,AT3G62630,,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF1645 (InterPro:IPR012442); BEST Arabidopsis thaliana protein match is: calmodulin-binding protein (TAIR:AT2G15760.1); Has 207 Blast hits to 197 proteins in 50 species: Archae - 3; Bacteria - 4; Metazoa - 52; Fungi - 9; Plants - 91; Viruses - 0; Other Eukaryotes - 48 (source: NCBI BLink).,1
3,NDL1,AT5G56750,,AT3G62720,"ATXT1, XT1, XXT1","XT1 (XYLOSYLTRANSFERASE 1); UDP-xylosyltransferase/ transferase/ transferase, transferring glycosyl groups / xyloglucan 6-xylosyltransferase",1
5,RGS1,AT3G26090,,AT3G62920,,unknown protein,1
2,AGB1,AT4G34460,,AT3G63420,"AGG1, ATAGG1",AGG1 (Arabidopsis Ggamma-subunit 1); GTP binding,76
1,TGA1,AT5G65210,,AT4G00100,"ATRPS13A, RPS13, PFL2",ATRPS13A (ARABIDOPSIS THALIANA RIBOSOMAL PROTEIN S13A); structural constituent of ribosome,1
6,GPA1,AT2G26300,CA GPA1,AT4G00752,,UBX domain-containing protein,2
5,RGS1,AT3G26090,,AT4G01150,,unknown protein,1
2,AGB1,AT4G34460,,AT4G01550,anac069,anac069 (Arabidopsis NAC domain containing protein 69); transcription factor,1
2,AGB1,AT4G34460,,AT4G07820,,"pathogenesis-related protein, putative",1
4,SYP23,AT4G17730,,AT4G07940,,unknown protein,1
13,PRN,AT3G59220,,AT4G08230,,glycine-rich protein,1
5,RGS1,AT3G26090,,AT4G08770,,"peroxidase, putative",3
5,RGS1,AT3G26090,,AT4G08950,EXO,EXO (EXORDIUM),1
20,ANNAT1,AT1G35720,,AT4G09030,"AGP10, ATAGP10",AGP10 (ARABINOGALACTAN PROTEIN 10),1
5,RGS1,AT3G26090,,AT4G09460,ATMYB6,ATMYB6; DNA binding / transcription factor,1
5,RGS1,AT3G26090,,AT4G10330,,glycine-rich protein,1
3,NDL1,AT5G56750,,AT4G10840,,kinesin light chain-related,1
6,GPA1,AT2G26300,CA GPA1,AT4G11420,"EIF3A, ATEIF3A-1, EIF3A-1, ATTIF3A1, ",EIF3A (EUKARYOTIC TRANSLATION INITIATION FACTOR 3A); translation initiation factor,1
4,SYP23,AT4G17730,,AT4G12510,,protease inhibitor/seed storage/lipid transfer protein (LTP) family protein,1
4,SYP23,AT4G17730,,AT4G13640,UNE16,UNE16 (unfertilized embryo sac 16); transcription factor,1
5,RGS1,AT3G26090,,AT4G13640,UNE16,UNE16 (unfertilized embryo sac 16); transcription factor,1
6,GPA1,AT2G26300,CA GPA1,AT4G13640,UNE16,UNE16 (unfertilized embryo sac 16); transcription factor,1
11,UNE16,AT4G13640,,AT4G13640,UNE16,UNE16 (unfertilized embryo sac 16); transcription factor,4
24,,AT4G26410,,AT4G13640,UNE16,UNE16 (unfertilized embryo sac 16); transcription factor,1
7,RACK1C,AT3G18130,,AT4G13940,"HOG1, EMB1395, SAHH1, MEE58, ATSAHH1",MEE58 (MATERNAL EFFECT EMBRYO ARREST 58); adenosylhomocysteinase/ copper ion binding,3
2,AGB1,AT4G34460,,AT4G14040,"EDA38, SBP2",SBP2 (SELENIUM-BINDING PROTEIN 2); selenium binding,1
9,ATARD1,AT4G14716,,AT4G14520,,DNA-directed RNA polymerase II-related,1
4,SYP23,AT4G17730,,AT4G14710,ATARD2,acireductone dioxygenase [iron(II)-requiring]/ metal ion binding,1
23,,AT1G05000,,AT4G14710,ATARD2,acireductone dioxygenase [iron(II)-requiring]/ metal ion binding,1
2,AGB1,AT4G34460,,AT4G14716,ATARD1,ATARD1 (ACIREDUCTONE DIOXYGENASE 1); acireductone dioxygenase [iron(II)-requiring]/ metal ion binding,1
3,NDL1,AT5G56750,,AT4G14880,"OASA1, CYTACS1",OASA1 (O-ACETYLSERINE (THIOL) LYASE (OAS-TL) ISOFORM A1); cysteine synthase,1
1,TGA1,AT5G65210,,AT4G15160,,lipid binding / structural constituent of cell wall,1
2,AGB1,AT4G34460,,AT4G16240,,unknown protein,1
3,NDL1,AT5G56750,,AT4G16240,,unknown protein,1
1,TGA1,AT5G65210,,AT4G16450,,unknown protein,1
3,NDL1,AT5G56750,,AT4G16450,,unknown protein,2
3,NDL1,AT5G56750,,AT4G16500,,cysteine protease inhibitor family protein / cystatin family protein,2
16,CDC48B,AT2G03670,,AT4G16520,ATG8F,ATG8F (autophagy 8f); microtubule binding,1
5,RGS1,AT3G26090,,AT4G16690,"ATMES16, MES16","MES16 (METHYL ESTERASE 16); catalytic/ hydrolase, acting on ester bonds / methyl indole-3-acetate esterase/ methyl jasmonate esterase",1
5,RGS1,AT3G26090,,AT4G16970,,ATP binding / kinase/ protein kinase/ protein serine/threonine kinase,1
5,RGS1,AT3G26090,,AT4G17230,SCL13,SCL13 (Scarecrow-like 13); transcription factor,1
5,RGS1,AT3G26090,,AT4G17280,,"INVOLVED IN: multicellular organismal development; LOCATED IN: membrane; EXPRESSED IN: 11 plant structures; EXPRESSED DURING: 6 growth stages; CONTAINS InterPro DOMAIN/s: Uncharacterised conserved protein UCP037471 (InterPro:IPR017214), Protein of unknown function DUF568, DOMON-like (InterPro:IPR007613), DOMON related (InterPro:IPR005018), Cytochrome b561/ferric reductase transmembrane (InterPro:IPR006593); BEST Arabidopsis thaliana protein match is: auxin-responsive protein, putative (TAIR:AT5G47530.1); Has 203 Blast hits to 203 proteins in 14 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 203; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",1
5,RGS1,AT3G26090,,AT4G17730,"SYP23, ATSYP23",SYP23 (SYNTAXIN OF PLANTS 23); SNAP receptor,1
6,GPA1,AT2G26300,CA GPA1,AT4G17730,"SYP23, ATSYP23",SYP23 (SYNTAXIN OF PLANTS 23); SNAP receptor,3
11,UNE16,AT4G13640,,AT4G17730,"SYP23, ATSYP23",SYP23 (SYNTAXIN OF PLANTS 23); SNAP receptor,2
12,Esterase-Lipase,AT1G52760,,AT4G17730,"SYP23, ATSYP23",SYP23 (SYNTAXIN OF PLANTS 23); SNAP receptor,1
1,TGA1,AT5G65210,,AT4G18100,,60S ribosomal protein L32 (RPL32A),1
3,NDL1,AT5G56750,,AT4G18480,"CHLI1, CH42, CH-42, CHL11, CHLI-1",CHLI1; ATPase/ magnesium chelatase,1
3,NDL1,AT5G56750,,AT4G20380,,zinc finger protein (LSD1),1
21,ATARD2,AT4G14710,,AT4G20930,,"3-hydroxyisobutyrate dehydrogenase, putative",1
8,Phosducin,AT5G14240,,AT4G21830,ATMSRB7,methionine sulfoxide reductase domain-containing protein / SeIR domain-containing protein,1
9,ATARD1,AT4G14716,,AT4G21960,PRXR1,PRXR1; electron carrier/ heme binding / peroxidase,1
2,AGB1,AT4G34460,,AT4G22780,ACR7,ACR7; amino acid binding,2
5,RGS1,AT3G26090,,AT4G22930,"PYR4, DHOASE","PYR4 (PYRIMIDIN 4); dihydroorotase/ hydrolase/ hydrolase, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides",1
2,AGB1,AT4G34460,,AT4G24510,"CER2, VC2, VC-2","CER2 (ECERIFERUM 2); transferase/ transferase, transferring acyl groups other than amino-acyl groups",1
5,RGS1,AT3G26090,,AT4G24660,"ATHB22, MEE68",ATHB22 (HOMEOBOX PROTEIN 22); DNA binding / transcription factor,2
8,Phosducin,AT5G14240,,AT4G24660,"ATHB22, MEE68",ATHB22 (HOMEOBOX PROTEIN 22); DNA binding / transcription factor,1
4,SYP23,AT4G17730,,AT4G24770,"RBP31, ATRBP31, CP31, ATRBP33",RBP31 (31-KDA RNA BINDING PROTEIN); RNA binding / poly(U) binding,1
2,AGB1,AT4G34460,,AT4G25100,FSD1,FSD1 (FE SUPEROXIDE DISMUTASE 1); copper ion binding / superoxide dismutase,2
5,RGS1,AT3G26090,,AT4G25100,FSD1,FSD1 (FE SUPEROXIDE DISMUTASE 1); copper ion binding / superoxide dismutase,2
6,GPA1,AT2G26300,CA GPA1,AT4G25100,FSD1,FSD1 (FE SUPEROXIDE DISMUTASE 1); copper ion binding / superoxide dismutase,5
9,ATARD1,AT4G14716,,AT4G25100,FSD1,FSD1 (FE SUPEROXIDE DISMUTASE 1); copper ion binding / superoxide dismutase,1
19,VAP27,AT3G60600,,AT4G25100,FSD1,FSD1 (FE SUPEROXIDE DISMUTASE 1); copper ion binding / superoxide dismutase,6
22,GPA1,AT2G26300,,AT4G25100,FSD1,FSD1 (FE SUPEROXIDE DISMUTASE 1); copper ion binding / superoxide dismutase,1
2,AGB1,AT4G34460,,AT4G25390,,protein kinase family protein,2
